library,name,tags
lucide-lab,house-roof,property|real_estate|dwellings|living|rooms|door|thatch|snow|account|home|buildings
lucide-lab,house,property|real_estate|dwellings|living|rooms|door|account|home|buildings
lucide-lab,houses,homes|property|real_estate|dwellings|living|rooms|door|buildings
lucide-lab,ice-hockey,stick|puck|ice_rink|skates|team|winter_sports|sports|gaming
lucide-lab,ice-skate,skates|ice_rink|figure_skating|speed_skating|boots|shoes|footwear|winter|sports|seasons
lucide-lab,igloo,ice_blocks|cold|freeze|frozen|winter|shelter|dome|eskimo|buildings|weather|seasons
lucide-lab,indian-rupee-circle,finance|financial|markets|exchange|trader|trading|transaction|payment|coin|inr|currency|money|shapes
lucide-lab,indian-rupee-square,finance|financial|markets|exchange|trader|trading|transaction|payment|inr|toolbar|button|currency|money|shapes
lucide-lab,intercom,buzzer|speaker|voice|call|service|summon|hospitality|hotel|accommodation|sound|access|gate|buildings|home|travel|security
lucide-lab,iron-off,do_not_iron|warning|instructions|clothes|clothing|apparel|attire|home|devices
lucide-lab,iron,steam|flatten|straighten|clothes|clothing|apparel|attire|dry_cleaning|amenities|home|devices|travel
lucide-lab,ironing-board,flatten|straighten|clothes|clothing|apparel|attire|dry_cleaning|amenities|home|furniture|travel
lucide-lab,italic-square,oblique|emphasis|emphasize|toolbar|formatting|styling|plain_text|rich_text|rtf|typography|font|slab_serif|writing|writer|prose|content|markdown|markup|text|tools|design|development
lucide-lab,jacket-sports,coat|man|mens|top|store|clothing|clothes|apparel|attire|fashion|thread|leather|casual|regular|warmth|winter|outdoors|shopping|sports
lucide-lab,jacket,blazer|coat|suit|gentleman|mens|boys|top|store|clothing|clothes|accessories|apparel|attire|outfit|fashion|formal|dressy|dinner|uniform|smart|classic|refined|elegant|evening_wear|tuxedo|black_tie_event|special_occasion|wedding|groom|gathering|thread|tailored|regular|slim_fit|warmth|shopping|social
